,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
10122,2,4,3,2.0,2.0,1,1,0,180.0,100.0,1,1.0,1.0,30.0,180.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10148,1,4,3,1.0,1.0,1,2,1,550.0,98.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10157,2,4,2,1.0,1.0,1,1,1,400.0,80.0,1,1.0,1.0,30.0,197.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10175,2,11,3,1.0,1.0,1,1,1,160.0,100.0,1,1.0,1.0,30.0,90.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10206,1,4,2,1.0,1.0,1,1,2,300.0,30.0,1,1.0,1.0,30.0,100.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
10210,2,4,3,1.0,1.0,1,1,1,150.0,100.0,1,1.0,1.0,30.0,112.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10216,1,4,3,1.0,1.0,1,1,1,500.0,95.0,1,1.0,1.0,30.0,101.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10235,2,3,3,2.0,6.0,1,2,1,1500.0,100.0,1,1.0,1.0,30.0,76.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10238,1,3,3,1.0,1.0,1,2,2,1000.0,70.0,1,1.0,1.0,30.0,65.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10250,1,6,2,1.0,1.0,2,1,2,900.0,70.0,1,1.0,0.0,,,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10258,2,5,3,1.0,1.0,1,2,2,300.0,100.0,1,1.0,1.0,30.0,121.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10265,2,4,2,1.0,1.0,1,1,2,900.0,75.0,1,1.0,1.0,30.0,184.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
10271,1,6,3,1.0,1.0,2,1,1,1000.0,80.0,1,1.0,1.0,30.0,74.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10313,2,3,3,1.0,1.0,1,1,4,1600.0,100.0,1,1.0,0.0,,,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
10322,2,7,3,1.0,1.0,2,2,2,700.0,100.0,1,1.0,1.0,30.0,133.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
10323,1,8,3,1.0,1.0,2,2,2,1200.0,80.0,1,1.0,0.0,,,2.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10331,2,4,3,1.0,1.0,1,1,1,190.0,100.0,1,1.0,1.0,30.0,84.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
10336,1,8,3,1.0,1.0,4,1,4,500.0,80.0,1,1.0,1.0,30.0,18.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10347,1,6,2,1.0,1.0,1,1,3,900.0,80.0,1,1.0,1.0,25.0,65.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10352,1,5,3,1.0,1.0,1,1,2,900.0,70.0,1,1.0,1.0,30.0,32.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
10365,1,4,2,1.0,2.0,1,1,2,1000.0,30.0,1,1.0,0.0,,,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,
10371,2,10,3,2.0,2.0,2,1,1,1200.0,60.0,1,1.0,1.0,30.0,112.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10389,2,3,3,1.0,1.0,1,1,1,150.0,100.0,1,1.0,0.0,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10397,2,5,3,1.0,1.0,1,1,1,225.0,100.0,1,1.0,0.0,,,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10399,1,5,2,1.0,1.0,2,1,2,700.0,60.0,1,1.0,1.0,25.0,28.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10410,2,6,2,1.0,2.0,1,1,2,596.0,80.0,1,1.0,1.0,30.0,137.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10413,2,5,3,1.0,1.0,4,1,3,1500.0,90.0,1,1.0,1.0,20.0,116.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10439,1,4,3,1.0,1.0,1,1,3,750.0,,1,1.0,1.0,30.0,114.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
10442,1,7,3,1.0,1.0,3,1,4,400.0,80.0,1,1.0,1.0,30.0,19.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10446,2,2,3,1.0,1.0,1,1,1,,,1,1.0,1.0,31.0,113.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
10447,2,6,3,1.0,1.0,1,0,1,200.0,100.0,1,1.0,1.0,30.0,106.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10453,2,10,3,2.0,2.0,1,1,2,500.0,80.0,1,1.0,1.0,30.0,219.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10454,2,4,3,2.0,1.0,1,1,1,350.0,100.0,1,1.0,1.0,30.0,122.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
10458,2,6,2,1.0,1.0,2,1,2,400.0,80.0,1,1.0,1.0,20.0,85.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10464,2,3,3,1.0,1.0,3,1,1,,,1,1.0,1.0,,44.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
10471,2,7,3,1.0,1.0,2,1,3,640.0,85.0,1,1.0,1.0,20.0,390.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10473,2,4,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
10481,2,9,3,1.0,1.0,2,2,4,2000.0,100.0,1,1.0,1.0,30.0,310.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10485,2,4,3,1.0,1.0,1,1,1,200.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10491,2,7,3,1.0,1.0,1,1,1,185.0,100.0,1,1.0,1.0,30.0,10.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10492,2,6,3,2.0,6.0,1,2,2,1200.0,100.0,1,1.0,1.0,30.0,118.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10495,2,4,3,1.0,1.0,1,1,0,250.0,100.0,1,1.0,0.0,,,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10500,1,6,3,1.0,1.0,1,2,3,750.0,85.0,1,1.0,0.0,,,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
10505,1,4,3,1.0,1.0,3,1,3,550.0,90.0,1,1.0,1.0,30.0,77.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10509,2,4,3,1.0,1.0,3,1,2,1300.0,100.0,1,1.0,1.0,20.0,17.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10527,2,5,3,1.0,1.0,1,1,1,260.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10530,2,5,3,1.0,1.0,2,1,3,2500.0,100.0,1,1.0,1.0,30.0,196.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
10542,1,5,3,1.0,1.0,1,2,3,800.0,100.0,1,1.0,1.0,30.0,51.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
10543,2,4,3,2.0,3.0,1,1,1,900.0,100.0,1,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10562,1,5,3,1.0,1.0,1,1,2,400.0,100.0,1,1.0,1.0,30.0,102.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10572,2,4,3,1.0,1.0,1,2,1,1500.0,100.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,
10590,2,5,3,1.0,1.0,1,0,1,300.0,100.0,1,1.0,1.0,30.0,122.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10597,1,5,2,1.0,1.0,1,1,3,500.0,75.0,1,1.0,0.0,,,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10609,1,6,3,1.0,1.0,1,1,3,2000.0,70.0,1,1.0,1.0,30.0,122.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,1.0,2.0,0.0,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
10611,1,4,3,1.0,1.0,2,1,2,550.0,80.0,1,1.0,1.0,30.0,119.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
10629,1,6,3,1.0,1.0,3,1,3,1000.0,90.0,1,1.0,1.0,30.0,20.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10650,2,8,3,2.0,3.0,2,2,2,650.0,100.0,1,1.0,0.0,,,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10651,1,5,3,1.0,1.0,2,1,2,450.0,90.0,1,1.0,1.0,30.0,64.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10653,1,7,2,1.0,1.0,2,1,1,850.0,75.0,1,1.0,1.0,30.0,70.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
10655,2,4,1,,,1,1,1,1000.0,20.0,1,2.0,0.0,,,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10658,2,4,3,1.0,1.0,3,1,3,900.0,90.0,1,1.0,1.0,30.0,58.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10662,2,12,3,1.0,1.0,1,1,1,350.0,60.0,1,1.0,1.0,30.0,45.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10663,1,5,3,1.0,1.0,2,1,3,670.0,65.0,1,1.0,1.0,20.0,62.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10671,1,5,2,1.0,1.0,2,1,3,750.0,70.0,1,1.0,1.0,25.0,85.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10673,1,5,3,1.0,1.0,1,1,1,180.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10682,2,3,3,1.0,1.0,2,1,2,500.0,90.0,1,1.0,1.0,30.0,52.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10688,1,5,2,1.0,1.0,1,1,2,950.0,80.0,1,1.0,0.0,,,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10699,1,2,2,1.0,1.0,1,1,2,400.0,50.0,1,1.0,1.0,30.0,59.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10709,2,4,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,
10717,2,3,3,1.0,1.0,2,1,1,350.0,80.0,1,1.0,1.0,30.0,42.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10725,2,3,3,1.0,1.0,1,2,2,,,1,1.0,1.0,,75.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10728,1,4,3,1.0,1.0,1,2,3,1089.0,100.0,1,1.0,1.0,60.0,17.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10729,2,4,3,1.0,2.0,2,1,2,1000.0,90.0,1,1.0,1.0,30.0,60.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10730,2,3,3,2.0,2.0,1,1,1,300.0,100.0,1,1.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10742,2,5,3,1.0,1.0,1,1,1,220.0,100.0,1,1.0,1.0,30.0,169.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
10749,2,4,3,2.0,4.0,1,1,1,250.0,100.0,1,1.0,0.0,,,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10752,2,4,3,2.0,2.0,1,1,1,350.0,80.0,1,1.0,0.0,,,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10757,2,4,2,1.0,1.0,1,1,2,350.0,65.0,1,1.0,1.0,20.0,85.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10787,1,7,3,1.0,1.0,2,2,2,1500.0,80.0,1,1.0,1.0,30.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10791,2,4,2,1.0,1.0,1,1,3,500.0,80.0,1,1.0,1.0,30.0,108.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10799,2,4,2,1.0,1.0,1,1,1,350.0,50.0,1,1.0,1.0,30.0,64.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10815,1,6,3,1.0,1.0,1,1,1,1089.0,80.0,1,1.0,1.0,30.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
10816,2,4,2,1.0,1.0,1,1,1,900.0,100.0,1,1.0,0.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10821,1,4,3,1.0,1.0,1,1,2,600.0,70.0,1,1.0,1.0,21.0,32.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10829,1,4,3,1.0,1.0,1,1,2,900.0,80.0,1,1.0,0.0,,,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10830,2,3,3,1.0,2.0,1,1,2,550.0,80.0,1,1.0,1.0,30.0,121.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10833,2,4,3,1.0,1.0,1,1,1,1000.0,,1,1.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
10835,1,6,3,1.0,1.0,2,1,2,1000.0,80.0,1,1.0,1.0,30.0,25.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10854,2,5,2,1.0,1.0,1,1,2,350.0,75.0,1,1.0,1.0,25.0,56.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10865,2,8,3,1.0,1.0,4,2,2,620.0,80.0,1,4.0,1.0,20.0,151.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10868,2,7,3,1.0,1.0,4,1,4,550.0,70.0,1,1.0,1.0,30.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
10883,2,5,2,1.0,1.0,1,1,1,450.0,,1,1.0,1.0,30.0,157.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10909,2,6,2,1.0,2.0,2,1,1,350.0,60.0,1,1.0,1.0,30.0,139.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10923,2,3,1,,,1,2,2,1800.0,20.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10924,2,2,3,1.0,1.0,3,1,3,600.0,90.0,1,1.0,1.0,30.0,30.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,
10929,2,5,2,1.0,2.0,1,2,2,450.0,50.0,1,1.0,0.0,,,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10934,2,3,3,1.0,1.0,2,1,2,600.0,80.0,1,1.0,1.0,30.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10955,1,7,3,1.0,3.0,2,1,1,550.0,80.0,1,1.0,1.0,30.0,23.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
10961,1,7,3,1.0,1.0,1,1,3,750.0,75.0,1,1.0,1.0,20.0,183.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10962,2,9,2,1.0,2.0,2,1,1,590.0,80.0,1,1.0,1.0,30.0,115.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10963,1,7,2,1.0,1.0,2,1,4,1000.0,60.0,1,1.0,0.0,,,2.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10969,2,4,3,1.0,1.0,1,1,1,400.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10970,2,6,3,1.0,1.0,2,1,3,650.0,90.0,1,1.0,0.0,,,2.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
10973,1,5,3,1.0,1.0,2,1,2,1000.0,70.0,1,1.0,0.0,,,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10981,2,5,3,1.0,1.0,1,1,1,300.0,100.0,1,1.0,0.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
10986,1,6,3,1.0,1.0,3,1,3,8070.0,90.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10988,2,7,3,1.0,1.0,2,1,5,600.0,90.0,1,1.0,1.0,20.0,35.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10989,1,3,3,1.0,1.0,2,1,2,500.0,90.0,1,1.0,1.0,30.0,29.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
10991,2,4,3,1.0,1.0,1,1,2,450.0,60.0,1,1.0,1.0,30.0,64.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
10993,2,6,3,1.0,1.0,3,2,3,8608.0,85.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
