,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
1802,1,9,3,1.0,1.0,3,2,3,1200.0,90.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,1,7,2,1.0,1.0,1,1,2,600.0,80.0,1,1.0,1.0,30.0,23.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1864,1,5,1,,,1,1,2,1000.0,100.0,1,1.0,1.0,30.0,90.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1891,1,5,1,,,1,1,2,450.0,70.0,1,2.0,0.0,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1904,1,3,1,,,1,0,2,350.0,75.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1933,1,4,1,,,1,1,2,2000.0,25.0,1,1.0,1.0,30.0,52.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1971,1,4,2,1.0,1.0,1,0,1,1000.0,50.0,1,1.0,1.0,30.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
1992,1,3,2,1.0,1.0,3,2,3,600.0,90.0,1,1.0,1.0,30.0,68.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2042,1,6,2,1.0,1.0,2,1,2,300.0,80.0,1,2.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2045,1,2,2,1.0,1.0,3,1,3,500.0,80.0,1,1.0,1.0,30.0,15.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2047,1,8,2,1.0,1.0,1,1,2,600.0,90.0,1,1.0,0.0,,,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2060,1,4,1,,,1,1,1,200.0,70.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2064,2,4,1,,,1,1,1,500.0,75.0,1,1.0,1.0,30.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2099,1,5,2,1.0,1.0,1,0,2,500.0,50.0,1,1.0,1.0,30.0,73.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2109,1,7,2,1.0,1.0,1,1,4,1600.0,100.0,1,1.0,1.0,30.0,29.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2129,1,4,1,,,2,1,2,450.0,75.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,1,7,2,1.0,1.0,2,2,2,700.0,90.0,1,1.0,1.0,30.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2181,1,5,2,1.0,1.0,1,1,2,450.0,80.0,1,1.0,1.0,30.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2194,1,5,2,1.0,1.0,1,1,4,1600.0,100.0,1,1.0,1.0,30.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2300,1,7,2,1.0,1.0,2,1,1,900.0,65.0,1,1.0,1.0,25.0,27.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
